,Attack,Fraction of data,Max queries,Epochs trained,Victim clf on Train data,Victim clf on Test data,Stolen clf on Train data,Stolen clf on Test data
0,KnockoffNets,5,2500,20,"(0.0017, 1.0)","(0.2134, 0.944)","(1.8743, 0.52)","(1.8492, 0.515)"
1,KnockoffNets,10,5000,20,"(0.0017, 1.0)","(0.2134, 0.944)","(1.3711, 0.619)","(1.5513, 0.583)"
2,KnockoffNets,20,10000,20,"(0.0017, 1.0)","(0.2134, 0.944)","(1.0375, 0.723)","(1.2095, 0.653)"
3,KnockoffNets,30,15000,20,"(0.0017, 1.0)","(0.2134, 0.944)","(0.7953, 0.75)","(1.0285, 0.697)"
0,KnockoffNets,5,2500,30,"(0.0017, 1.0)","(0.2134, 0.944)","(2.1656, 0.545)","(2.3571, 0.525)"
1,KnockoffNets,10,5000,30,"(0.0017, 1.0)","(0.2134, 0.944)","(1.378, 0.636)","(1.5988, 0.593)"
2,KnockoffNets,20,10000,30,"(0.0017, 1.0)","(0.2134, 0.944)","(1.091, 0.726)","(1.4035, 0.66)"
3,KnockoffNets,30,15000,30,"(0.0017, 1.0)","(0.2134, 0.944)","(0.7677, 0.791)","(0.9552, 0.708)"
0,KnockoffNets,5,2500,40,"(0.0017, 1.0)","(0.2134, 0.944)","(2.6595, 0.506)","(2.5057, 0.52)"
1,KnockoffNets,10,5000,40,"(0.0017, 1.0)","(0.2134, 0.944)","(1.5156, 0.65)","(1.7004, 0.603)"
2,KnockoffNets,20,10000,40,"(0.0017, 1.0)","(0.2134, 0.944)","(1.2484, 0.714)","(1.5209, 0.642)"
3,KnockoffNets,30,15000,40,"(0.0017, 1.0)","(0.2134, 0.944)","(0.8399, 0.772)","(1.0338, 0.71)"
0,CopycatCNN,5,2500,20,"(0.0017, 1.0)","(0.2134, 0.944)","(1.566, 0.539)","(1.6998, 0.532)"
1,CopycatCNN,10,5000,20,"(0.0017, 1.0)","(0.2134, 0.944)","(1.5256, 0.623)","(1.698, 0.584)"
2,CopycatCNN,20,10000,20,"(0.0017, 1.0)","(0.2134, 0.944)","(1.0333, 0.726)","(1.1957, 0.665)"
3,CopycatCNN,30,15000,20,"(0.0017, 1.0)","(0.2134, 0.944)","(0.7759, 0.766)","(0.9894, 0.69)"
0,CopycatCNN,5,2500,30,"(0.0017, 1.0)","(0.2134, 0.944)","(2.0025, 0.535)","(1.9658, 0.524)"
1,CopycatCNN,10,5000,30,"(0.0017, 1.0)","(0.2134, 0.944)","(1.4955, 0.646)","(1.7299, 0.595)"
2,CopycatCNN,20,10000,30,"(0.0017, 1.0)","(0.2134, 0.944)","(1.048, 0.723)","(1.2566, 0.675)"
3,CopycatCNN,30,15000,30,"(0.0017, 1.0)","(0.2134, 0.944)","(0.6689, 0.806)","(1.0855, 0.694)"
0,CopycatCNN,5,2500,40,"(0.0017, 1.0)","(0.2134, 0.944)","(2.3161, 0.557)","(2.2642, 0.522)"
1,CopycatCNN,10,5000,40,"(0.0017, 1.0)","(0.2134, 0.944)","(1.7464, 0.639)","(2.0327, 0.55)"
2,CopycatCNN,20,10000,40,"(0.0017, 1.0)","(0.2134, 0.944)","(1.2221, 0.721)","(1.4793, 0.668)"
3,CopycatCNN,30,15000,40,"(0.0017, 1.0)","(0.2134, 0.944)","(0.7929, 0.788)","(0.9659, 0.725)"
